"Organ","Effect (95% CI)","FDR"
"Adipose","1.09 (1.01-1.17)",0.0239978372998846
"Brain","1.35 (1.26-1.45)",6.40161170209552e-17
"Cardiovascular","1.20 (1.12-1.29)",1.0182982832341e-06
"Endocrine","1.19 (1.11-1.28)",2.48635834314874e-06
"Gastrointestinal","1.22 (1.14-1.31)",1.71568137154762e-07
"Immune","1.19 (1.11-1.27)",2.48635834314874e-06
"Kidney And Bladder","1.21 (1.13-1.30)",1.71568137154762e-07
"Liver","1.21 (1.13-1.30)",4.19881426314004e-07
"Lung","1.13 (1.05-1.22)",0.00129743491639501
"Muscle","1.08 (1.03-1.15)",0.00621030766614847
"Nerve","1.16 (1.08-1.24)",4.6911282357662e-05
"Ovary","1.15 (1.04-1.27)",0.00665788083644311
"Pancreas","1.11 (1.03-1.19)",0.00665788083644311
"Prostate","0.98 (0.89-1.08)",0.720087683303524
"Skin","1.06 (0.99-1.14)",0.109800929696128
