"Organ","Effect (95% CI)","FDR"
"Adipose","1.25 (1.15-1.35)",1.31307157114022e-07
"Brain","1.39 (1.29-1.50)",1.54067049434555e-17
"Cardiovascular","1.52 (1.41-1.64)",1.26574199210033e-28
"Endocrine","1.65 (1.53-1.77)",5.02182601789507e-42
"Gastrointestinal","1.62 (1.51-1.74)",6.12575846742579e-40
"Immune","1.46 (1.35-1.57)",6.05316714540623e-24
"Kidney And Bladder","1.63 (1.52-1.74)",7.0548184259509e-45
"Liver","1.48 (1.36-1.61)",3.56198507983722e-19
"Lung","1.45 (1.34-1.56)",3.01234712669446e-22
"Muscle","1.20 (1.12-1.29)",7.40080440674119e-07
"Nerve","1.55 (1.44-1.67)",4.33342276683233e-29
"Ovary","1.16 (1.02-1.32)",0.0267802361169573
"Pancreas","1.27 (1.17-1.38)",1.7363937247864e-08
"Prostate","1.09 (0.98-1.22)",0.109494139590766
"Skin","1.25 (1.14-1.36)",8.58921718508795e-07
