"Organ","Effect (95% CI)","FDR"
"Adipose","1.14 (1.09-1.20)",1.40282348844404e-07
"Brain","1.12 (1.07-1.17)",3.27292830504611e-06
"Cardiovascular","1.15 (1.10-1.21)",3.78863062064899e-08
"Endocrine","1.15 (1.09-1.21)",2.10798138754387e-07
"Gastrointestinal","1.12 (1.07-1.17)",7.3033051117056e-07
"Immune","1.13 (1.08-1.19)",1.94349387156989e-07
"Kidney And Bladder","1.19 (1.14-1.25)",2.1973022011797e-12
"Liver","1.11 (1.06-1.17)",1.18869839955981e-05
"Lung","1.11 (1.06-1.16)",1.59092665435323e-05
"Muscle","1.10 (1.06-1.14)",1.40282348844404e-07
"Nerve","1.12 (1.07-1.18)",7.3033051117056e-07
"Ovary","1.08 (0.99-1.19)",0.0973962746731285
"Pancreas","1.11 (1.06-1.17)",2.94548988684972e-05
"Prostate","1.14 (1.08-1.21)",2.73034491337449e-06
"Skin","1.12 (1.06-1.17)",6.85358291493115e-06
