"Organ","Effect (95% CI)","FDR"
"Adipose","1.13 (1.03-1.23)",0.011046637831436
"Brain","1.19 (1.09-1.29)",0.000201338168963933
"Cardiovascular","1.16 (1.06-1.26)",0.00197618906459906
"Endocrine","1.07 (1.00-1.15)",0.0648968890742927
"Gastrointestinal","1.24 (1.14-1.36)",1.81171837956223e-05
"Immune","1.21 (1.11-1.31)",5.53821768961189e-05
"Kidney And Bladder","1.11 (1.03-1.20)",0.0107582968360754
"Liver","1.15 (1.06-1.25)",0.00228814270783763
"Lung","1.18 (1.08-1.29)",0.000731522588009329
"Muscle","1.06 (0.98-1.15)",0.174515342382263
"Nerve","1.17 (1.07-1.28)",0.00126235192701344
"Ovary","1.07 (0.98-1.17)",0.150400552045295
"Pancreas","1.02 (0.95-1.09)",0.628153034702469
"Prostate","1.10 (0.96-1.26)",0.188736435264596
"Skin","1.16 (1.06-1.27)",0.00238515007607108
