"Organ","Effect (95% CI)","FDR"
"Adipose","1.14 (0.96-1.35)",0.442838051020834
"Brain","1.14 (1.00-1.31)",0.24365380642898
"Cardiovascular","1.08 (0.92-1.28)",0.557068584303547
"Endocrine","1.09 (0.96-1.23)",0.461983089560721
"Gastrointestinal","1.16 (0.99-1.37)",0.24365380642898
"Immune","1.21 (1.06-1.38)",0.0647750657936922
"Kidney And Bladder","1.08 (0.95-1.23)",0.508564316742405
"Liver","1.05 (0.89-1.23)",0.654273735646881
"Lung","1.15 (1.01-1.32)",0.24365380642898
"Muscle","0.95 (0.85-1.07)",0.557068584303547
"Nerve","1.07 (0.91-1.26)",0.557068584303547
"Ovary","1.08 (0.94-1.24)",0.508564316742405
"Pancreas","1.02 (0.91-1.15)",0.761893021518638
"Prostate","0.90 (0.65-1.27)",0.654273735646881
"Skin","1.02 (0.87-1.19)",0.851897780387313
