"Organ","Effect (95% CI)","FDR"
"Adipose","1.09 (0.98-1.20)",0.145207063706505
"Brain","1.21 (1.09-1.34)",0.000940998832669068
"Cardiovascular","1.30 (1.16-1.45)",2.84776351156135e-05
"Endocrine","1.21 (1.08-1.35)",0.0022714724182162
"Gastrointestinal","1.22 (1.11-1.34)",0.000150786041916977
"Immune","1.15 (1.05-1.26)",0.00673301690716997
"Kidney And Bladder","1.35 (1.21-1.50)",1.27457103763737e-06
"Liver","1.21 (1.10-1.34)",0.000516593808664014
"Lung","1.17 (1.05-1.30)",0.00673301690716997
"Muscle","1.08 (0.98-1.18)",0.155005968666942
"Nerve","1.16 (1.04-1.28)",0.0109903793301436
"Ovary","1.23 (1.00-1.52)",0.0693900889083833
"Pancreas","1.07 (0.97-1.17)",0.186671010353045
"Prostate","1.02 (0.85-1.22)",0.857262708272993
"Skin","1.16 (1.04-1.29)",0.00906460528730869
