"Organ","Effect (95% CI)","FDR"
"Adipose","1.02 (0.84-1.22)",0.869095952768092
"Brain","1.30 (1.09-1.55)",0.0451888136347267
"Cardiovascular","1.25 (1.04-1.51)",0.0613488118339377
"Endocrine","1.17 (0.97-1.41)",0.174902634827894
"Gastrointestinal","1.21 (1.05-1.40)",0.0451888136347267
"Immune","1.16 (1.00-1.34)",0.141328657733383
"Kidney And Bladder","1.28 (1.06-1.54)",0.0451888136347267
"Liver","1.16 (0.98-1.37)",0.160514856648825
"Lung","1.19 (0.98-1.44)",0.160514856648825
"Muscle","1.11 (0.95-1.30)",0.240895244146684
"Nerve","1.27 (1.05-1.53)",0.0571868334022638
"Ovary","1.17 (0.94-1.47)",0.240895244146684
"Pancreas","1.10 (0.95-1.27)",0.259316521427162
"Prostate","0.96 (0.73-1.28)",0.863330474091685
"Skin","1.09 (0.92-1.30)",0.344852417460312
