"Organ","Effect (95% CI)","FDR"
"Adipose","1.28 (1.12-1.47)",0.000571281743261692
"Brain","1.45 (1.23-1.71)",1.44254849039925e-05
"Cardiovascular","1.68 (1.43-1.96)",3.87126050134908e-10
"Endocrine","1.63 (1.40-1.89)",8.14978991581743e-10
"Gastrointestinal","1.67 (1.45-1.92)",7.1695216237834e-12
"Immune","1.51 (1.32-1.73)",2.28427738537469e-09
"Kidney And Bladder","1.73 (1.50-2.00)",1.35640328392026e-12
"Liver","1.59 (1.37-1.85)",2.62772763770528e-09
"Lung","1.53 (1.32-1.77)",1.62512439666478e-08
"Muscle","1.32 (1.15-1.51)",8.93274595192762e-05
"Nerve","1.65 (1.43-1.91)",5.41878961135966e-11
"Ovary","1.23 (0.90-1.67)",0.19604427714706
"Pancreas","1.28 (1.08-1.51)",0.00482083268084707
"Prostate","1.38 (1.05-1.82)",0.0243760620520823
"Skin","1.30 (1.12-1.51)",0.000740934376683518
