"Organ","Effect (95% CI)","FDR"
"Adipose","1.39 (1.04-1.86)",0.0375333771386913
"Brain","1.53 (1.11-2.11)",0.0142159300410153
"Cardiovascular","1.65 (1.23-2.21)",0.00246109403921189
"Endocrine","1.87 (1.36-2.57)",0.00046246497040792
"Gastrointestinal","1.62 (1.27-2.07)",0.00046246497040792
"Immune","1.53 (1.23-1.91)",0.00046246497040792
"Kidney And Bladder","1.81 (1.38-2.37)",0.000216922464598789
"Liver","1.56 (1.15-2.11)",0.00820562833263295
"Lung","1.48 (1.16-1.88)",0.00336474746823973
"Muscle","1.21 (0.93-1.59)",0.167215164335768
"Nerve","1.54 (1.16-2.04)",0.00578434416219114
"Ovary","1.38 (0.94-2.01)",0.111553600405579
"Pancreas","1.39 (1.05-1.85)",0.035126654691161
"Prostate","1.42 (0.86-2.33)",0.172926426809891
"Skin","1.32 (1.01-1.72)",0.0505961462106262
