"Organ","Effect (95% CI)","FDR"
"Ovary","1.49 (1.35-1.64)",5.71e-16
"Prostate","1.40 (1.30-1.50)",3.02307692307692e-19
"Cardiovascular","1.57 (1.49-1.65)",1.0635e-64
"Kidney And Bladder","1.54 (1.47-1.62)",6.045e-64
"Immune","1.53 (1.46-1.61)",5.25e-63
"Brain","1.53 (1.44-1.63)",3.06e-44
"Liver","1.52 (1.44-1.61)",3.225e-49
"Gastrointestinal","1.50 (1.41-1.58)",3.8e-44
"Nerve","1.47 (1.39-1.56)",1.696875e-38
"Endocrine","1.47 (1.39-1.55)",4.86428571428571e-44
"Pancreas","1.46 (1.38-1.54)",2.4e-38
"Adipose","1.40 (1.32-1.48)",3.35454545454545e-31
"Lung","1.39 (1.31-1.47)",4.4625e-29
"Muscle","1.39 (1.32-1.47)",1.2165e-33
"Skin","1.29 (1.22-1.38)",2.925e-16
