"Organ","Effect (95% CI)","FDR"
"Prostate","1.54 (1.33-1.78)",8.21785714285714e-09
"Ovary","1.47 (1.30-1.66)",7.9625e-10
"Kidney And Bladder","1.59 (1.47-1.72)",4.56e-31
"Cardiovascular","1.58 (1.47-1.69)",6.735e-37
"Nerve","1.54 (1.41-1.69)",2.79e-20
"Immune","1.50 (1.39-1.61)",5.75e-25
"Endocrine","1.48 (1.35-1.61)",1.779e-18
"Liver","1.46 (1.33-1.60)",3.83571428571429e-16
"Gastrointestinal","1.45 (1.33-1.58)",2.675e-17
"Pancreas","1.47 (1.31-1.65)",3.68181818181818e-11
"Brain","1.44 (1.32-1.58)",4.81875e-15
"Lung","1.42 (1.30-1.55)",7.43333333333333e-15
"Adipose","1.39 (1.26-1.53)",9.615e-12
"Skin","1.36 (1.23-1.51)",6.79615384615385e-09
"Muscle","1.21 (1.12-1.32)",3.88e-06
