"Organ","Effect (95% CI)","FDR"
"Prostate","0.85 (0.65-1.10)",0.3175
"Ovary","1.19 (0.99-1.43)",0.105166666666667
"Gastrointestinal","1.26 (1.10-1.43)",0.00399
"Lung","1.25 (1.10-1.41)",0.00399
"Kidney And Bladder","1.23 (1.09-1.39)",0.0046875
"Immune","1.23 (1.08-1.39)",0.0046875
"Cardiovascular","1.15 (1.01-1.31)",0.0638571428571429
"Brain","1.15 (1.01-1.31)",0.0638571428571429
"Endocrine","1.15 (1.00-1.32)",0.081375
"Muscle","1.14 (1.01-1.27)",0.0638571428571429
"Pancreas","1.09 (0.94-1.26)",0.3175
"Liver","1.08 (0.94-1.25)",0.3175
"Nerve","1.07 (0.92-1.25)",0.408461538461538
"Adipose","1.05 (0.91-1.21)",0.550714285714286
"Skin","1.03 (0.89-1.20)",0.651
