"Organ","Effect (95% CI)","FDR"
"Ovary","1.04 (0.75-1.45)",0.814
"Prostate","1.40 (1.09-1.81)",0.0117
"Gastrointestinal","1.65 (1.40-1.96)",3.9825e-08
"Cardiovascular","1.60 (1.37-1.87)",3.9825e-08
"Brain","1.60 (1.36-1.88)",6.15e-08
"Nerve","1.59 (1.31-1.93)",4.47857142857143e-06
"Endocrine","1.56 (1.32-1.83)",3.31875e-07
"Kidney And Bladder","1.51 (1.28-1.78)",1.69e-06
"Immune","1.50 (1.28-1.75)",1.68e-06
"Liver","1.49 (1.18-1.88)",0.001188
"Adipose","1.43 (1.16-1.75)",0.001188
"Lung","1.42 (1.14-1.75)",0.00195
"Skin","1.42 (1.17-1.71)",0.00070875
"Pancreas","1.31 (1.04-1.65)",0.027
"Muscle","1.08 (0.87-1.33)",0.515357142857143
