"Organ","Effect (95% CI)","FDR"
"Prostate","1.22 (1.10-1.34)",0.000141818181818182
"Ovary","1.11 (1.02-1.21)",0.0153214285714286
"Immune","1.22 (1.15-1.29)",1.068e-09
"Nerve","1.22 (1.15-1.30)",5.715e-09
"Cardiovascular","1.20 (1.13-1.27)",7.7e-09
"Brain","1.20 (1.12-1.28)",1.095e-07
"Liver","1.18 (1.11-1.25)",2.742e-07
"Lung","1.17 (1.10-1.25)",3.08571428571429e-06
"Endocrine","1.17 (1.10-1.24)",1.915e-06
"Gastrointestinal","1.16 (1.09-1.24)",1.010625e-05
"Adipose","1.17 (1.09-1.25)",1.68e-05
"Kidney And Bladder","1.15 (1.08-1.23)",1.51666666666667e-05
"Skin","1.12 (1.04-1.20)",0.00182307692307692
"Muscle","1.10 (1.04-1.17)",0.0018
"Pancreas","1.07 (1.00-1.15)",0.0395
