"Organ","Effect (95% CI)","FDR"
"Prostate","1.08 (0.98-1.18)",0.15
"Ovary","1.09 (1.00-1.20)",0.0945
"Immune","1.16 (1.09-1.24)",1.458e-05
"Kidney And Bladder","1.13 (1.06-1.20)",0.00069075
"Lung","1.11 (1.04-1.18)",0.00555
"Adipose","1.10 (1.04-1.18)",0.00846
"Endocrine","1.10 (1.03-1.17)",0.00846
"Gastrointestinal","1.07 (1.00-1.14)",0.0945
"Nerve","1.06 (1.00-1.13)",0.0945
"Brain","1.06 (0.99-1.12)",0.137166666666667
"Pancreas","1.06 (0.99-1.13)",0.15
"Cardiovascular","1.05 (0.98-1.12)",0.17875
"Liver","1.03 (0.97-1.10)",0.331153846153846
"Skin","1.02 (0.95-1.09)",0.665357142857143
"Muscle","1.01 (0.95-1.08)",0.695
