"Organ","Effect (95% CI)","FDR"
"Adipose","1.38 (1.31-1.46)",1.05185593526977e-28
"Brain","1.48 (1.40-1.57)",3.93351258283188e-40
"Cardiovascular","1.54 (1.46-1.62)",8.00596142691282e-62
"Endocrine","1.47 (1.39-1.55)",5.9150012029607e-43
"Gastrointestinal","1.47 (1.39-1.55)",9.03227045604993e-43
"Immune","1.52 (1.44-1.59)",3.75433876032501e-60
"Kidney And Bladder","1.53 (1.46-1.61)",8.40286532125128e-62
"Liver","1.50 (1.42-1.58)",1.21156605412232e-46
"Lung","1.39 (1.31-1.47)",7.75946781056981e-29
"Muscle","1.36 (1.29-1.44)",4.32580488404009e-29
"Nerve","1.46 (1.38-1.55)",1.10471651468645e-36
"Ovary","1.49 (1.35-1.64)",6.12013831471595e-16
"Pancreas","1.45 (1.37-1.53)",2.72248504983858e-36
"Prostate","1.39 (1.30-1.50)",3.02169643052365e-19
"Skin","1.28 (1.20-1.36)",9.06987941098174e-15
