"Organ","Effect (95% CI)","FDR"
"Adipose","1.39 (1.27-1.52)",5.5828463431444e-12
"Brain","1.41 (1.28-1.54)",4.98183006226561e-13
"Cardiovascular","1.58 (1.47-1.70)",5.15343269446484e-34
"Endocrine","1.48 (1.36-1.61)",5.08367760049801e-19
"Gastrointestinal","1.43 (1.31-1.56)",1.10479482202058e-15
"Immune","1.50 (1.38-1.62)",1.18596349243652e-23
"Kidney And Bladder","1.58 (1.47-1.71)",1.2395703340747e-31
"Liver","1.41 (1.28-1.55)",3.27540430897238e-12
"Lung","1.40 (1.29-1.53)",3.61897101182236e-14
"Muscle","1.28 (1.18-1.40)",1.8326343399398e-08
"Nerve","1.54 (1.40-1.70)",7.06354082343893e-19
"Ovary","1.55 (1.35-1.76)",1.45782663832607e-10
"Pancreas","1.45 (1.29-1.62)",6.89606610163752e-10
"Prostate","1.52 (1.32-1.75)",1.26757439638305e-08
"Skin","1.32 (1.19-1.47)",3.96545693750933e-07
