"Organ","Effect (95% CI)","FDR"
"Adipose","1.35 (1.18-1.54)",2.92217783316653e-05
"Brain","1.29 (1.11-1.48)",0.000777162401518142
"Cardiovascular","1.45 (1.29-1.63)",7.22156920556305e-09
"Endocrine","1.42 (1.25-1.63)",8.25837364097773e-07
"Gastrointestinal","1.33 (1.14-1.54)",0.00043016825163708
"Immune","1.42 (1.26-1.60)",3.32262694314337e-08
"Kidney And Bladder","1.58 (1.40-1.79)",9.75423064389273e-12
"Liver","1.40 (1.21-1.63)",1.76718610948471e-05
"Lung","1.31 (1.13-1.53)",0.000629468913247329
"Muscle","1.14 (1.03-1.27)",0.0131297978433945
"Nerve","1.36 (1.15-1.61)",0.000629468913247329
"Ovary","1.40 (1.14-1.72)",0.00169265123437386
"Pancreas","1.42 (1.21-1.67)",5.1452260778772e-05
"Prostate","1.34 (1.05-1.71)",0.0170347423828386
"Skin","1.29 (1.06-1.59)",0.0136548755495362
