"Organ","Effect (95% CI)","FDR"
"Adipose","1.07 (0.93-1.24)",0.402029221569959
"Brain","1.17 (1.02-1.33)",0.0438396153398355
"Cardiovascular","1.18 (1.03-1.34)",0.0397372417426836
"Endocrine","1.15 (1.00-1.34)",0.108961707861062
"Gastrointestinal","1.27 (1.11-1.45)",0.00499521043222705
"Immune","1.23 (1.08-1.39)",0.00702965920433414
"Kidney And Bladder","1.23 (1.08-1.40)",0.00702965920433414
"Liver","1.08 (0.93-1.25)",0.373385845766471
"Lung","1.25 (1.10-1.42)",0.00499521043222705
"Muscle","1.14 (1.02-1.27)",0.0438396153398355
"Nerve","1.05 (0.91-1.22)",0.53993491078716
"Ovary","1.15 (0.96-1.37)",0.197343829962705
"Pancreas","1.12 (0.96-1.30)",0.197343829962705
"Prostate","0.81 (0.62-1.06)",0.197343829962705
"Skin","1.04 (0.90-1.22)",0.577630663416793
