"Organ","Effect (95% CI)","FDR"
"Adipose","1.42 (1.16-1.73)",0.00117548876246629
"Brain","1.49 (1.24-1.80)",5.03303619851847e-05
"Cardiovascular","1.64 (1.41-1.90)",1.19719751139292e-09
"Endocrine","1.56 (1.34-1.83)",1.05287930234178e-07
"Gastrointestinal","1.67 (1.43-1.95)",1.19719751139292e-09
"Immune","1.50 (1.29-1.74)",5.45598347575452e-07
"Kidney And Bladder","1.47 (1.25-1.74)",7.30409364967079e-06
"Liver","1.48 (1.18-1.85)",0.00120613598294617
"Lung","1.39 (1.13-1.73)",0.00315953933802855
"Muscle","1.22 (1.02-1.46)",0.0285752975301539
"Nerve","1.61 (1.32-1.95)",5.54979845578814e-06
"Ovary","1.10 (0.77-1.57)",0.589561150835655
"Pancreas","1.29 (1.03-1.62)",0.0285752975301539
"Prostate","1.41 (1.09-1.82)",0.010046749457888
"Skin","1.38 (1.14-1.67)",0.00145010168789273
