"Organ","Effect (95% CI)","FDR"
"Adipose","1.18 (1.10-1.26)",3.63789840804608e-06
"Brain","1.20 (1.12-1.28)",1.16662876229188e-07
"Cardiovascular","1.20 (1.13-1.28)",1.65396954633346e-08
"Endocrine","1.17 (1.10-1.25)",9.22326909042707e-07
"Gastrointestinal","1.17 (1.09-1.24)",7.8560129871425e-06
"Immune","1.22 (1.15-1.29)",2.44640870744199e-09
"Kidney And Bladder","1.16 (1.09-1.23)",7.8560129871425e-06
"Liver","1.20 (1.13-1.27)",1.79248810060097e-08
"Lung","1.17 (1.10-1.25)",2.1531551510139e-06
"Muscle","1.14 (1.08-1.21)",1.28073065605094e-05
"Nerve","1.23 (1.15-1.31)",2.44640870744199e-09
"Ovary","1.12 (1.03-1.22)",0.0111993700423338
"Pancreas","1.09 (1.02-1.16)",0.015829910468475
"Prostate","1.21 (1.10-1.33)",9.32810106770015e-05
"Skin","1.12 (1.04-1.19)",0.00165731882112813
