"Organ","Effect (95% CI)","FDR"
"Adipose","1.28 (1.08-1.50)",0.00397035576986878
"Brain","1.44 (1.26-1.64)",1.42942255177317e-07
"Cardiovascular","1.53 (1.35-1.75)",7.06817491181672e-10
"Endocrine","1.37 (1.19-1.58)",2.38450114076413e-05
"Gastrointestinal","1.37 (1.20-1.56)",8.76763564841878e-06
"Immune","1.42 (1.26-1.61)",1.05127505625884e-07
"Kidney And Bladder","1.54 (1.37-1.72)",3.67222376250952e-12
"Liver","1.37 (1.16-1.61)",0.000328343073289951
"Lung","1.20 (1.03-1.39)",0.0194194935533949
"Muscle","1.23 (1.09-1.39)",0.00148749759331295
"Nerve","1.43 (1.24-1.66)",4.03686813972517e-06
"Ovary","1.28 (1.00-1.63)",0.0463824150500031
"Pancreas","1.25 (1.09-1.44)",0.00237015237969811
"Prostate","1.80 (1.50-2.17)",1.82587295489553e-09
"Skin","1.25 (1.09-1.44)",0.00237015237969811
