"Organ","Effect (95% CI)","FDR"
"Adipose","1.29 (0.99-1.69)",0.0940233054593255
"Brain","1.40 (1.12-1.75)",0.0171311195976891
"Cardiovascular","1.55 (1.22-1.96)",0.00211407192990219
"Endocrine","1.39 (1.09-1.77)",0.0210158862349748
"Gastrointestinal","1.30 (1.03-1.64)",0.0547789311703984
"Immune","1.32 (1.04-1.66)",0.0510505987849796
"Kidney And Bladder","1.57 (1.30-1.91)",6.5422164008906e-05
"Liver","1.37 (1.01-1.86)",0.072841974612595
"Lung","1.25 (0.98-1.60)",0.0959535838680936
"Muscle","1.17 (0.98-1.39)",0.0959535838680936
"Nerve","1.30 (0.97-1.74)",0.0975994077436272
"Ovary","1.31 (0.89-1.93)",0.17847113688609
"Pancreas","1.07 (0.85-1.36)",0.56012915780725
"Prostate","1.63 (1.16-2.30)",0.0197362137498132
"Skin","1.28 (1.01-1.63)",0.072841974612595
