"Organ","Effect (95% CI)","FDR"
"Adipose","1.09 (1.02-1.17)",0.0213834489072315
"Brain","1.07 (1.00-1.13)",0.0956147524856541
"Cardiovascular","1.05 (0.98-1.12)",0.187597390179375
"Endocrine","1.10 (1.04-1.17)",0.0077647608146777
"Gastrointestinal","1.07 (1.00-1.14)",0.0956147524856541
"Immune","1.16 (1.09-1.23)",1.61022985959952e-05
"Kidney And Bladder","1.13 (1.06-1.20)",0.000816611796015164
"Liver","1.06 (0.99-1.13)",0.135779312016172
"Lung","1.11 (1.04-1.18)",0.00505244754114311
"Muscle","0.97 (0.92-1.03)",0.367857798461968
"Nerve","1.05 (0.99-1.12)",0.135779312016172
"Ovary","1.08 (0.99-1.17)",0.135779312016172
"Pancreas","1.05 (0.98-1.12)",0.193692415195219
"Prostate","1.06 (0.97-1.17)",0.248571811170495
"Skin","1.03 (0.97-1.10)",0.367857798461968
