"Organ","Effect (95% CI)","FDR"
"Adipose","1.02 (0.90-1.16)",0.733104661271338
"Brain","1.03 (0.90-1.18)",0.733104661271338
"Cardiovascular","1.05 (0.93-1.18)",0.733104661271338
"Endocrine","1.06 (0.93-1.21)",0.733104661271338
"Gastrointestinal","0.96 (0.85-1.08)",0.733104661271338
"Immune","1.03 (0.90-1.17)",0.733104661271338
"Kidney And Bladder","1.13 (1.00-1.29)",0.723734448084458
"Liver","1.03 (0.91-1.18)",0.733104661271338
"Lung","1.06 (0.94-1.20)",0.733104661271338
"Muscle","1.03 (0.92-1.15)",0.733104661271338
"Nerve","1.04 (0.92-1.18)",0.733104661271338
"Ovary","1.16 (0.97-1.37)",0.723734448084458
"Pancreas","1.03 (0.91-1.18)",0.733104661271338
"Prostate","0.91 (0.76-1.08)",0.733104661271338
"Skin","0.95 (0.85-1.06)",0.733104661271338
