"Organ","Effect (95% CI)","FDR"
"Adipose","1.15 (1.07-1.24)",0.000582108929565709
"Brain","1.12 (1.03-1.20)",0.0070862743323688
"Cardiovascular","1.29 (1.20-1.38)",1.54911570732696e-11
"Endocrine","1.16 (1.07-1.27)",0.00107351797493993
"Gastrointestinal","1.18 (1.10-1.26)",5.19549696357683e-05
"Immune","1.15 (1.07-1.24)",0.000582108929565709
"Kidney And Bladder","1.19 (1.09-1.29)",9.01385940740726e-05
"Liver","1.19 (1.10-1.29)",6.0161235521096e-05
"Lung","1.11 (1.03-1.21)",0.0117755523562241
"Muscle","1.07 (0.99-1.15)",0.0958032464373481
"Nerve","1.19 (1.10-1.28)",5.21198899670862e-05
"Ovary","1.12 (1.01-1.23)",0.029305643343836
"Pancreas","1.09 (1.01-1.18)",0.0277678654918526
"Prostate","1.08 (0.93-1.25)",0.333576478837182
"Skin","1.17 (1.08-1.27)",0.000216069912405548
