"Organ","Effect (95% CI)","FDR"
"Adipose","1.10 (1.02-1.19)",0.0192948850386903
"Brain","1.38 (1.28-1.48)",5.41463917615799e-17
"Cardiovascular","1.20 (1.11-1.29)",3.44772553704033e-06
"Endocrine","1.20 (1.12-1.30)",2.6001134506888e-06
"Gastrointestinal","1.24 (1.15-1.34)",1.43677103302686e-07
"Immune","1.19 (1.10-1.28)",1.07567060758843e-05
"Kidney And Bladder","1.23 (1.14-1.32)",1.43677103302686e-07
"Liver","1.23 (1.14-1.33)",2.41751126647501e-07
"Lung","1.13 (1.05-1.22)",0.00244678734459174
"Muscle","1.10 (1.04-1.16)",0.00126431263428377
"Nerve","1.18 (1.10-1.27)",1.87881551945643e-05
"Ovary","1.16 (1.05-1.29)",0.00573343316847229
"Pancreas","1.10 (1.02-1.19)",0.0116822096616136
"Prostate","0.99 (0.89-1.09)",0.78555586700128
"Skin","1.08 (1.00-1.16)",0.0446652599337185
