"Organ","Effect (95% CI)","FDR"
"Adipose","1.04 (1.00-1.07)",0.175383541916667
"Brain","1.00 (0.96-1.04)",0.959740090431836
"Cardiovascular","1.03 (1.00-1.07)",0.178487980086551
"Endocrine","1.04 (1.00-1.08)",0.116342565173931
"Gastrointestinal","1.06 (1.02-1.10)",0.0358642287079988
"Immune","1.03 (0.99-1.07)",0.307250800882927
"Kidney And Bladder","1.04 (1.00-1.08)",0.150529029839864
"Liver","1.04 (1.00-1.08)",0.116342565173931
"Lung","1.01 (0.98-1.05)",0.630521216365538
"Muscle","1.01 (0.97-1.05)",0.738057353445836
"Nerve","1.02 (0.98-1.06)",0.407000372144597
"Ovary","1.04 (0.99-1.10)",0.178487980086551
"Pancreas","1.00 (0.96-1.03)",0.959740090431836
"Prostate","1.01 (0.95-1.07)",0.783300136531368
"Skin","1.06 (1.02-1.10)",0.0176635586312117
