"Organ","Effect (95% CI)","FDR"
"Adipose","1.00 (0.95-1.06)",0.99884678774266
"Brain","1.09 (1.03-1.15)",0.00605083081101542
"Cardiovascular","1.15 (1.08-1.22)",2.39161681756877e-05
"Endocrine","1.08 (1.03-1.14)",0.00605083081101542
"Gastrointestinal","1.13 (1.07-1.20)",4.56846814567844e-05
"Immune","1.08 (1.02-1.14)",0.0114018466293571
"Kidney And Bladder","1.14 (1.07-1.20)",4.24002601551168e-05
"Liver","1.15 (1.08-1.21)",2.39161681756877e-05
"Lung","1.07 (1.02-1.13)",0.0114018466293571
"Muscle","1.04 (0.99-1.10)",0.121396820117116
"Nerve","1.10 (1.04-1.17)",0.00279299186439249
"Ovary","1.06 (0.99-1.12)",0.114082053968528
"Pancreas","1.05 (1.00-1.10)",0.0683251281731774
"Prostate","1.08 (0.98-1.18)",0.121396820117116
"Skin","1.05 (0.99-1.11)",0.114082053968528
