"Organ","Effect (95% CI)","FDR"
"Adipose","1.08 (0.98-1.20)",0.148604621882258
"Brain","1.16 (1.06-1.27)",0.00864143252221254
"Cardiovascular","1.15 (1.05-1.27)",0.0101232907687601
"Endocrine","1.05 (0.97-1.13)",0.280692998593904
"Gastrointestinal","1.25 (1.12-1.38)",0.000371305250783323
"Immune","1.15 (1.04-1.26)",0.0101232907687601
"Kidney And Bladder","1.08 (1.00-1.18)",0.0909184905063947
"Liver","1.10 (1.00-1.21)",0.0850348339888206
"Lung","1.15 (1.05-1.27)",0.0101232907687601
"Muscle","1.02 (0.94-1.12)",0.623212633942615
"Nerve","1.19 (1.07-1.31)",0.00755027088588142
"Ovary","1.07 (0.96-1.20)",0.280692998593904
"Pancreas","1.00 (0.92-1.08)",0.945790739538173
"Prostate","1.21 (1.04-1.41)",0.032514149590851
"Skin","1.13 (1.02-1.25)",0.032514149590851
