"Organ","Effect (95% CI)","FDR"
"Adipose","1.05 (0.87-1.26)",0.844901750906593
"Brain","1.05 (0.91-1.22)",0.844901750906593
"Cardiovascular","1.08 (0.91-1.30)",0.844901750906593
"Endocrine","1.06 (0.94-1.20)",0.844901750906593
"Gastrointestinal","1.05 (0.88-1.25)",0.844901750906593
"Immune","1.12 (0.97-1.29)",0.844901750906593
"Kidney And Bladder","1.04 (0.92-1.19)",0.844901750906593
"Liver","1.00 (0.84-1.18)",0.975881515316848
"Lung","1.08 (0.94-1.24)",0.844901750906593
"Muscle","0.94 (0.83-1.07)",0.844901750906593
"Nerve","1.03 (0.86-1.22)",0.891645350496632
"Ovary","1.08 (0.93-1.24)",0.844901750906593
"Pancreas","0.99 (0.88-1.11)",0.908083459841698
"Prostate","0.92 (0.65-1.30)",0.844901750906593
"Skin","0.96 (0.81-1.14)",0.844901750906593
