"Organ","Effect (95% CI)","FDR"
"Adipose","1.06 (0.95-1.19)",0.409397537228786
"Brain","1.13 (1.01-1.26)",0.118039263388931
"Cardiovascular","1.20 (1.06-1.36)",0.0233100709096528
"Endocrine","1.15 (1.01-1.29)",0.106733712044802
"Gastrointestinal","1.19 (1.06-1.32)",0.0152682197053418
"Immune","1.05 (0.95-1.16)",0.409397537228786
"Kidney And Bladder","1.25 (1.11-1.41)",0.00436049978019048
"Liver","1.09 (0.97-1.22)",0.272519796693716
"Lung","1.10 (0.98-1.24)",0.25335945470463
"Muscle","1.06 (0.95-1.18)",0.409397537228786
"Nerve","1.12 (0.99-1.27)",0.168008271085755
"Ovary","1.11 (0.90-1.36)",0.409397537228786
"Pancreas","1.03 (0.92-1.14)",0.676951730665303
"Prostate","1.01 (0.83-1.24)",0.915553145238076
"Skin","1.08 (0.97-1.21)",0.272519796693716
