"Organ","Effect (95% CI)","FDR"
"Adipose","1.21 (1.06-1.38)",0.015360584212296
"Brain","1.17 (1.01-1.35)",0.0504929456102082
"Cardiovascular","1.34 (1.15-1.56)",0.00129228913317113
"Endocrine","1.20 (0.97-1.48)",0.107849356460566
"Gastrointestinal","1.23 (1.07-1.41)",0.0109920326802664
"Immune","1.29 (1.12-1.50)",0.00278812330362259
"Kidney And Bladder","1.25 (1.05-1.49)",0.0242279177392521
"Liver","1.37 (1.18-1.59)",0.00072004439763821
"Lung","1.17 (1.02-1.34)",0.0484174378956074
"Muscle","1.11 (0.97-1.27)",0.141390280268928
"Nerve","1.24 (1.07-1.43)",0.0109920326802664
"Ovary","1.13 (0.96-1.32)",0.149229432678814
"Pancreas","1.06 (0.93-1.21)",0.386356890931452
"Prostate","1.40 (1.02-1.92)",0.0504929456102082
"Skin","1.18 (1.01-1.37)",0.0504929456102082
