"Organ","Effect (95% CI)","FDR"
"Adipose","1.13 (0.87-1.48)",0.472678008599823
"Brain","1.22 (0.95-1.57)",0.346337109164889
"Cardiovascular","1.28 (0.95-1.73)",0.346337109164889
"Endocrine","1.25 (0.95-1.65)",0.346337109164889
"Gastrointestinal","1.16 (0.90-1.50)",0.472678008599823
"Immune","1.14 (0.91-1.44)",0.472678008599823
"Kidney And Bladder","1.40 (1.08-1.82)",0.174480836244244
"Liver","1.17 (0.92-1.50)",0.472678008599823
"Lung","1.15 (0.88-1.49)",0.472678008599823
"Muscle","0.99 (0.81-1.21)",0.919899840222507
"Nerve","1.15 (0.86-1.53)",0.472678008599823
"Ovary","1.12 (0.82-1.52)",0.592926349087283
"Pancreas","1.02 (0.80-1.31)",0.917935761839572
"Prostate","1.57 (0.91-2.71)",0.346337109164889
"Skin","1.09 (0.81-1.46)",0.667790488979807
