"Organ","Effect (95% CI)","FDR"
"Adipose","1.32 (1.10-1.58)",0.00392759334073604
"Brain","1.49 (1.24-1.80)",5.18905329969437e-05
"Cardiovascular","1.67 (1.40-2.01)",1.65544397977256e-07
"Endocrine","1.54 (1.28-1.85)",1.29508291048161e-05
"Gastrointestinal","1.62 (1.37-1.93)",1.86982206909859e-07
"Immune","1.47 (1.25-1.72)",6.74968141042431e-06
"Kidney And Bladder","1.65 (1.39-1.95)",1.65544397977256e-07
"Liver","1.49 (1.26-1.76)",1.04771454514819e-05
"Lung","1.45 (1.22-1.72)",4.80665070461573e-05
"Muscle","1.32 (1.11-1.57)",0.00281383524835878
"Nerve","1.56 (1.32-1.86)",1.33935647256179e-06
"Ovary","1.09 (0.85-1.40)",0.498435213159677
"Pancreas","1.21 (1.01-1.44)",0.0385345904435899
"Prostate","1.92 (1.37-2.69)",0.000223590998897266
"Skin","1.25 (1.06-1.48)",0.00872491121233428
