"Organ","Effect (95% CI)","FDR"
"Adipose","1.30 (0.94-1.80)",0.11964930697778
"Brain","1.64 (1.15-2.32)",0.00885683174999619
"Cardiovascular","1.73 (1.25-2.39)",0.00338513781756623
"Endocrine","1.89 (1.29-2.77)",0.00338513781756623
"Gastrointestinal","1.77 (1.31-2.40)",0.00160096451314314
"Immune","1.52 (1.18-1.97)",0.00338513781756623
"Kidney And Bladder","1.84 (1.36-2.49)",0.00110691890211268
"Liver","1.67 (1.17-2.40)",0.00885683174999619
"Lung","1.45 (1.11-1.88)",0.00885683174999619
"Muscle","1.33 (1.04-1.70)",0.0311737894572064
"Nerve","1.62 (1.22-2.15)",0.00338513781756623
"Ovary","1.34 (0.84-2.16)",0.222770403400688
"Pancreas","1.58 (1.15-2.17)",0.00885683174999619
"Prostate","1.85 (1.11-3.09)",0.0247104423673167
"Skin","1.30 (0.98-1.73)",0.0802206214260715
