"Organ","Effect (95% CI)","FDR"
"Ovary","1.35 (1.23-1.48)",1.41428571428571e-10
"Prostate","1.41 (1.31-1.52)",3.84230769230769e-19
"Cardiovascular","1.44 (1.37-1.51)",3.45e-44
"Brain","1.44 (1.35-1.53)",2.607e-31
"Kidney And Bladder","1.44 (1.36-1.52)",3.42e-38
"Immune","1.41 (1.34-1.48)",4.16e-38
"Gastrointestinal","1.42 (1.34-1.51)",2.607e-31
"Nerve","1.39 (1.30-1.47)",7.55e-27
"Endocrine","1.40 (1.32-1.48)",6.35e-29
"Liver","1.39 (1.31-1.47)",1.861875e-27
"Pancreas","1.38 (1.31-1.47)",1.15714285714286e-27
"Adipose","1.36 (1.28-1.44)",1.3575e-24
"Lung","1.35 (1.27-1.44)",5.275e-20
"Muscle","1.32 (1.25-1.40)",4.73181818181818e-22
"Skin","1.21 (1.14-1.29)",1.62e-09
