"Organ","Effect (95% CI)","FDR"
"Prostate","1.33 (1.16-1.52)",5.2625e-05
"Ovary","1.27 (1.10-1.46)",0.00131538461538462
"Nerve","1.41 (1.28-1.56)",1.7025e-11
"Cardiovascular","1.36 (1.25-1.48)",1.7025e-11
"Kidney And Bladder","1.36 (1.24-1.49)",7.4e-11
"Immune","1.35 (1.23-1.47)",1.6275e-10
"Endocrine","1.33 (1.22-1.45)",6.78e-10
"Adipose","1.27 (1.16-1.40)",2.185e-06
"Pancreas","1.25 (1.13-1.38)",3.56666666666667e-05
"Gastrointestinal","1.26 (1.14-1.40)",1.468125e-05
"Liver","1.25 (1.13-1.37)",1.468125e-05
"Brain","1.24 (1.12-1.37)",5.2625e-05
"Lung","1.24 (1.12-1.37)",4.965e-05
"Skin","1.18 (1.06-1.31)",0.00295
"Muscle","1.15 (1.05-1.25)",0.00145714285714286
