"Organ","Effect (95% CI)","FDR"
"Prostate","0.88 (0.69-1.12)",0.398181818181818
"Ovary","1.13 (0.94-1.37)",0.333333333333333
"Immune","1.21 (1.07-1.38)",0.0319
"Kidney And Bladder","1.21 (1.06-1.39)",0.0319
"Gastrointestinal","1.20 (1.04-1.39)",0.0375
"Lung","1.20 (1.05-1.37)",0.0319
"Brain","1.12 (0.98-1.27)",0.225
"Endocrine","1.12 (0.96-1.29)",0.260625
"Cardiovascular","1.11 (0.97-1.26)",0.246428571428571
"Muscle","1.11 (0.98-1.25)",0.225
"Liver","1.08 (0.94-1.24)",0.398181818181818
"Pancreas","1.07 (0.92-1.24)",0.51
"Nerve","1.04 (0.90-1.22)",0.668076923076923
"Adipose","0.99 (0.86-1.14)",0.942
"Skin","0.99 (0.86-1.15)",0.942
