"Organ","Effect (95% CI)","FDR"
"Ovary","1.11 (0.76-1.62)",0.59
"Prostate","1.36 (1.03-1.79)",0.0326785714285714
"Cardiovascular","1.67 (1.40-2.00)",1.305e-07
"Gastrointestinal","1.73 (1.44-2.09)",1.0395e-07
"Nerve","1.63 (1.31-2.02)",3.475e-05
"Brain","1.58 (1.27-1.97)",7.84285714285714e-05
"Endocrine","1.52 (1.27-1.82)",1.69875e-05
"Immune","1.49 (1.25-1.79)",3.27e-05
"Kidney And Bladder","1.50 (1.27-1.76)",6.45e-06
"Skin","1.50 (1.22-1.84)",0.00022875
"Liver","1.44 (1.11-1.87)",0.00913636363636364
"Adipose","1.41 (1.13-1.76)",0.00369
"Lung","1.36 (1.07-1.71)",0.0135
"Pancreas","1.34 (1.05-1.70)",0.0206538461538462
"Muscle","1.29 (1.10-1.51)",0.00238333333333333
