"Organ","Effect (95% CI)","FDR"
"Prostate","1.19 (1.07-1.32)",0.00156818181818182
"Ovary","1.09 (1.00-1.19)",0.045
"Immune","1.22 (1.15-1.30)",5.595e-09
"Nerve","1.21 (1.13-1.29)",9.45e-08
"Cardiovascular","1.19 (1.11-1.26)",4.675e-07
"Liver","1.19 (1.11-1.27)",5.5125e-07
"Brain","1.18 (1.10-1.26)",6.21e-06
"Lung","1.17 (1.10-1.25)",7.5e-06
"Adipose","1.16 (1.08-1.25)",5.1375e-05
"Endocrine","1.16 (1.09-1.23)",1.27714285714286e-05
"Gastrointestinal","1.15 (1.07-1.23)",9.8e-05
"Kidney And Bladder","1.14 (1.07-1.22)",0.00010695
"Skin","1.10 (1.03-1.19)",0.00777692307692308
"Muscle","1.09 (1.02-1.16)",0.0074125
"Pancreas","1.07 (1.00-1.14)",0.0657
