"Organ","Effect (95% CI)","FDR"
"Prostate","1.07 (0.98-1.18)",0.2625
"Ovary","1.11 (1.01-1.22)",0.07525
"Immune","1.14 (1.07-1.21)",0.0011715
"Kidney And Bladder","1.11 (1.04-1.18)",0.019725
"Lung","1.09 (1.02-1.17)",0.03865
"Endocrine","1.08 (1.01-1.15)",0.07525
"Adipose","1.08 (1.01-1.15)",0.07525
"Pancreas","1.06 (0.99-1.14)",0.181071428571429
"Nerve","1.05 (0.98-1.12)",0.281666666666667
"Gastrointestinal","1.04 (0.97-1.11)",0.414
"Cardiovascular","1.03 (0.96-1.10)",0.575454545454545
"Brain","1.02 (0.96-1.09)",0.62625
"Skin","0.98 (0.92-1.05)",0.69
"Liver","1.01 (0.94-1.08)",0.84
"Muscle","0.99 (0.93-1.06)",0.867
