"Organ","Effect (95% CI)","FDR"
"Adipose","1.32 (0.80-2.17)",0.82672215031247
"Brain","1.17 (0.78-1.76)",0.82672215031247
"Cardiovascular","1.00 (0.66-1.51)",0.985182697473262
"Endocrine","1.35 (0.79-2.33)",0.82672215031247
"Gastrointestinal","0.69 (0.45-1.06)",0.82672215031247
"Immune","0.80 (0.52-1.25)",0.82672215031247
"Kidney And Bladder","1.20 (0.78-1.87)",0.82672215031247
"Liver","1.31 (0.78-2.22)",0.82672215031247
"Lung","1.12 (0.74-1.71)",0.968557947602013
"Muscle","1.03 (0.72-1.47)",0.985182697473262
"Nerve","1.00 (0.65-1.55)",0.985182697473262
"Ovary","0.71 (0.38-1.35)",0.82672215031247
"Pancreas","1.01 (0.69-1.48)",0.985182697473262
"Prostate","0.82 (0.32-2.12)",0.985182697473262
"Skin","1.05 (0.68-1.61)",0.985182697473262
