"Organ","Effect (95% CI)","FDR"
"Adipose","1.18 (0.90-1.54)",0.374838295401806
"Brain","1.22 (0.95-1.57)",0.356488683861658
"Cardiovascular","1.34 (0.97-1.84)",0.356488683861658
"Endocrine","1.31 (0.99-1.73)",0.356488683861658
"Gastrointestinal","1.19 (0.91-1.56)",0.374838295401806
"Immune","1.15 (0.91-1.46)",0.374838295401806
"Kidney And Bladder","1.39 (1.08-1.80)",0.174526329162913
"Liver","1.16 (0.90-1.50)",0.374838295401806
"Lung","1.17 (0.91-1.50)",0.374838295401806
"Muscle","0.96 (0.77-1.19)",0.774883776363138
"Nerve","1.12 (0.84-1.49)",0.616234420224978
"Ovary","1.10 (0.81-1.48)",0.677581693999833
"Pancreas","1.02 (0.79-1.32)",0.876326778810267
"Prostate","1.48 (0.91-2.39)",0.356488683861658
"Skin","1.05 (0.80-1.39)",0.774883776363138
