"Organ","Effect (95% CI)","FDR"
"Adipose","1.15 (0.99-1.32)",0.0786332457624157
"Brain","1.37 (1.18-1.59)",0.000638415507284541
"Cardiovascular","1.22 (1.03-1.44)",0.0393514234285721
"Endocrine","1.26 (1.07-1.48)",0.0209868121551791
"Gastrointestinal","1.16 (1.01-1.34)",0.0621697280440673
"Immune","1.19 (1.02-1.38)",0.0445928244303518
"Kidney And Bladder","1.23 (1.04-1.44)",0.0333266345111022
"Liver","1.29 (1.09-1.53)",0.0160700828228287
"Lung","1.13 (0.96-1.32)",0.156975345309083
"Muscle","1.16 (1.01-1.34)",0.0621697280440673
"Nerve","1.30 (1.11-1.52)",0.0075193323245355
"Ovary","1.18 (1.00-1.40)",0.0763441389598797
"Pancreas","1.20 (1.05-1.37)",0.0232822785202957
"Prostate","1.02 (0.78-1.33)",0.884429854138133
"Skin","1.10 (0.96-1.27)",0.196152779668995
