"Organ","Effect (95% CI)","FDR"
"Adipose","1.13 (0.99-1.28)",0.417072984357058
"Brain","0.92 (0.82-1.04)",0.567135910543712
"Cardiovascular","1.00 (0.87-1.15)",0.980005591882043
"Endocrine","1.03 (0.89-1.19)",0.81532233584331
"Gastrointestinal","1.06 (0.94-1.21)",0.567135910543712
"Immune","1.08 (0.95-1.21)",0.567135910543712
"Kidney And Bladder","1.04 (0.90-1.19)",0.815291921059694
"Liver","1.15 (1.00-1.32)",0.417072984357058
"Lung","1.08 (0.95-1.23)",0.567135910543712
"Muscle","1.02 (0.91-1.14)",0.81532233584331
"Nerve","1.07 (0.93-1.24)",0.567135910543712
"Ovary","0.95 (0.82-1.10)",0.75118439795487
"Pancreas","0.94 (0.84-1.06)",0.567135910543712
"Prostate","1.05 (0.81-1.36)",0.81532233584331
"Skin","1.12 (0.98-1.28)",0.417072984357058
