"Organ","Effect (95% CI)","FDR"
"Adipose","1.33 (1.25-1.41)",2.63350760257257e-21
"Brain","1.38 (1.29-1.46)",3.94113682914206e-24
"Cardiovascular","1.42 (1.34-1.49)",2.55495870356347e-36
"Endocrine","1.38 (1.30-1.46)",1.77699166469444e-27
"Gastrointestinal","1.38 (1.30-1.46)",1.34629814580309e-24
"Immune","1.39 (1.32-1.47)",1.84985394877452e-32
"Kidney And Bladder","1.41 (1.34-1.49)",9.84722289921914e-34
"Liver","1.37 (1.29-1.45)",1.66676984770595e-25
"Lung","1.32 (1.24-1.41)",5.7085048484161e-18
"Muscle","1.28 (1.21-1.35)",3.03842346174528e-18
"Nerve","1.37 (1.29-1.46)",1.07200532694256e-23
"Ovary","1.39 (1.26-1.53)",4.75014006072671e-11
"Pancreas","1.37 (1.29-1.45)",1.01851562628079e-24
"Prostate","1.36 (1.27-1.46)",1.31244433290188e-16
"Skin","1.19 (1.12-1.26)",5.27918772412964e-08
