"Organ","Effect (95% CI)","FDR"
"Adipose","1.12 (0.96-1.30)",0.531379918932802
"Brain","1.10 (0.97-1.24)",0.531379918932802
"Cardiovascular","1.06 (0.95-1.18)",0.621454725245757
"Endocrine","1.08 (0.96-1.21)",0.573232909525675
"Gastrointestinal","1.09 (0.97-1.21)",0.531379918932802
"Immune","1.13 (1.01-1.27)",0.468238198436461
"Kidney And Bladder","1.02 (0.92-1.15)",0.841192213968094
"Liver","1.01 (0.89-1.13)",0.971317090606238
"Lung","0.99 (0.88-1.12)",0.971317090606238
"Muscle","0.96 (0.86-1.07)",0.772466783354709
"Nerve","1.04 (0.92-1.17)",0.80896196233234
"Ovary","1.08 (0.94-1.24)",0.621454725245757
"Pancreas","1.03 (0.92-1.15)",0.841192213968094
"Prostate","1.00 (0.81-1.22)",0.971317090606238
"Skin","1.07 (0.93-1.23)",0.621454725245757
