"Organ","Effect (95% CI)","FDR"
"Adipose","1.27 (1.16-1.40)",1.8448065525278e-06
"Brain","1.24 (1.12-1.37)",5.26433323750432e-05
"Cardiovascular","1.36 (1.25-1.48)",1.43480838915328e-11
"Endocrine","1.33 (1.22-1.45)",5.50566347083838e-10
"Gastrointestinal","1.26 (1.14-1.40)",1.39148587294804e-05
"Immune","1.34 (1.23-1.47)",1.17915973343913e-10
"Kidney And Bladder","1.36 (1.24-1.48)",5.19707887151605e-11
"Liver","1.25 (1.13-1.37)",1.39148587294804e-05
"Lung","1.24 (1.12-1.37)",4.64724784426638e-05
"Muscle","1.15 (1.05-1.24)",0.00141800772026387
"Nerve","1.41 (1.28-1.56)",2.06447382360829e-11
"Ovary","1.27 (1.10-1.46)",0.00131016333865362
"Pancreas","1.25 (1.13-1.38)",3.56767749799045e-05
"Prostate","1.33 (1.16-1.52)",5.26433323750432e-05
"Skin","1.18 (1.06-1.31)",0.00276581210112721
