"Organ","Effect (95% CI)","FDR"
"Adipose","1.28 (1.13-1.46)",0.000930694990067119
"Brain","1.10 (0.93-1.30)",0.28590116453835
"Cardiovascular","1.26 (1.11-1.45)",0.00222992057573716
"Endocrine","1.33 (1.16-1.52)",0.000569791230581709
"Gastrointestinal","1.01 (0.86-1.20)",0.87763283170601
"Immune","1.17 (1.02-1.34)",0.0539159350159057
"Kidney And Bladder","1.31 (1.14-1.50)",0.00087938204371843
"Liver","1.14 (0.96-1.36)",0.169966229154181
"Lung","1.15 (0.98-1.34)",0.129623496424696
"Muscle","1.13 (1.01-1.26)",0.0547397671430896
"Nerve","1.31 (1.11-1.54)",0.00360789357578464
"Ovary","1.22 (1.00-1.47)",0.0772838799953575
"Pancreas","1.24 (1.07-1.44)",0.00967236672847648
"Prostate","1.16 (0.89-1.52)",0.296524049966001
"Skin","1.11 (0.93-1.32)",0.28590116453835
