"Organ","Effect (95% CI)","FDR"
"Adipose","1.02 (0.89-1.18)",0.80039743216438
"Brain","1.14 (1.00-1.30)",0.126777366198154
"Cardiovascular","1.14 (1.00-1.30)",0.126777366198154
"Endocrine","1.12 (0.96-1.32)",0.262461879334193
"Gastrointestinal","1.23 (1.07-1.43)",0.0232154417786278
"Immune","1.21 (1.06-1.37)",0.0232154417786278
"Kidney And Bladder","1.23 (1.07-1.41)",0.0232154417786278
"Liver","1.08 (0.93-1.25)",0.421449422117626
"Lung","1.21 (1.06-1.39)",0.0232154417786278
"Muscle","1.13 (1.01-1.26)",0.10785379581694
"Nerve","1.03 (0.88-1.20)",0.80039743216438
"Ovary","1.09 (0.91-1.31)",0.421449422117626
"Pancreas","1.10 (0.94-1.29)",0.33649447021958
"Prostate","0.84 (0.65-1.07)",0.265257883064374
"Skin","1.01 (0.88-1.17)",0.882412981628933
