"Organ","Effect (95% CI)","FDR"
"Adipose","1.01 (0.83-1.23)",0.949500592384419
"Brain","1.17 (0.97-1.41)",0.199719345682538
"Cardiovascular","1.12 (0.90-1.38)",0.438790413300269
"Endocrine","1.24 (0.97-1.58)",0.199719345682538
"Gastrointestinal","1.31 (1.04-1.64)",0.102485571276997
"Immune","1.16 (0.94-1.44)",0.276822747290634
"Kidney And Bladder","1.38 (1.12-1.71)",0.0455412629545464
"Liver","1.20 (0.96-1.49)",0.206464392891923
"Lung","1.28 (1.05-1.57)",0.102485571276997
"Muscle","1.12 (0.99-1.27)",0.199719345682538
"Nerve","1.07 (0.84-1.36)",0.627986256116278
"Ovary","1.18 (0.91-1.53)",0.328294493650143
"Pancreas","1.10 (0.89-1.36)",0.450672912598631
"Prostate","0.68 (0.44-1.05)",0.199719345682538
"Skin","0.94 (0.76-1.16)",0.627986256116278
