"Organ","Effect (95% CI)","FDR"
"Adipose","1.38 (1.22-1.56)",5.3184827621648e-07
"Brain","1.44 (1.28-1.61)",1.10709066248473e-09
"Cardiovascular","1.45 (1.29-1.63)",1.10709066248473e-09
"Endocrine","1.24 (1.08-1.41)",0.00241107525004064
"Gastrointestinal","1.47 (1.30-1.66)",1.10709066248473e-09
"Immune","1.45 (1.29-1.62)",1.10709066248473e-09
"Kidney And Bladder","1.25 (1.10-1.43)",0.00118255941805701
"Liver","1.44 (1.28-1.62)",5.97949261654465e-09
"Lung","1.47 (1.31-1.65)",1.10709066248473e-09
"Muscle","1.16 (1.03-1.30)",0.0149594261338794
"Nerve","1.31 (1.14-1.52)",0.000337210847312724
"Ovary","1.34 (1.13-1.59)",0.00119436179814225
"Pancreas","1.25 (1.08-1.46)",0.00437001376162603
"Prostate","1.34 (1.04-1.72)",0.0247612022342935
"Skin","1.43 (1.27-1.62)",1.36580004310258e-08
