"Organ","Effect (95% CI)","FDR"
"Adipose","1.57 (1.30-1.90)",5.59139503934559e-06
"Brain","1.65 (1.39-1.96)",7.21363564084609e-08
"Cardiovascular","1.73 (1.46-2.05)",2.28930181250756e-09
"Endocrine","1.51 (1.20-1.89)",0.000484969911910811
"Gastrointestinal","1.84 (1.44-2.35)",4.10074365741765e-06
"Immune","1.58 (1.30-1.94)",1.37735541643082e-05
"Kidney And Bladder","1.50 (1.20-1.86)",0.000457450700733894
"Liver","1.52 (1.21-1.90)",0.000457450700733894
"Lung","1.66 (1.35-2.03)",4.10074365741765e-06
"Muscle","1.10 (0.88-1.37)",0.392247692016572
"Nerve","1.60 (1.27-2.01)",9.28053751363236e-05
"Ovary","1.54 (1.16-2.05)",0.00367262180503029
"Pancreas","1.29 (0.96-1.73)",0.0920126212402635
"Prostate","1.50 (1.00-2.24)",0.0555256617764336
"Skin","1.83 (1.50-2.23)",2.91917585927211e-08
