"Organ","Effect (95% CI)","FDR"
"Adipose","1.16 (1.09-1.25)",4.02032977519852e-05
"Brain","1.18 (1.10-1.26)",4.87600182459698e-06
"Cardiovascular","1.19 (1.12-1.26)",3.14959923258141e-07
"Endocrine","1.16 (1.09-1.23)",9.85398326775386e-06
"Gastrointestinal","1.15 (1.08-1.23)",8.09780617164263e-05
"Immune","1.22 (1.15-1.30)",3.99161735050279e-09
"Kidney And Bladder","1.14 (1.07-1.22)",8.2489835700683e-05
"Liver","1.19 (1.12-1.27)",3.98814644536649e-07
"Lung","1.17 (1.10-1.25)",5.69439661477855e-06
"Muscle","1.09 (1.03-1.16)",0.00567730936171111
"Nerve","1.21 (1.14-1.30)",7.14457592741357e-08
"Ovary","1.09 (1.00-1.19)",0.0449684725004047
"Pancreas","1.07 (1.00-1.14)",0.060619214746795
"Prostate","1.19 (1.07-1.32)",0.00156597217290181
"Skin","1.11 (1.03-1.19)",0.00663035636487128
