"Organ","Effect (95% CI)","FDR"
"Adipose","1.20 (1.07-1.34)",0.00374968866072891
"Brain","1.20 (1.08-1.33)",0.00115643805901946
"Cardiovascular","1.23 (1.11-1.35)",0.0002314968332494
"Endocrine","1.23 (1.11-1.36)",0.0002314968332494
"Gastrointestinal","1.15 (1.03-1.29)",0.0208044870251956
"Immune","1.23 (1.12-1.35)",0.000173777960201878
"Kidney And Bladder","1.21 (1.09-1.34)",0.00115643805901946
"Liver","1.15 (1.03-1.27)",0.0162534885000093
"Lung","1.14 (1.03-1.27)",0.019438926185533
"Muscle","1.09 (1.00-1.19)",0.0525508924509967
"Nerve","1.18 (1.06-1.32)",0.00681624176206851
"Ovary","1.21 (1.05-1.38)",0.0117571945066042
"Pancreas","1.10 (0.99-1.23)",0.0757746474961931
"Prostate","1.15 (0.99-1.35)",0.0759468952053007
"Skin","1.16 (1.04-1.29)",0.0125321811204484
