"Organ","Effect (95% CI)","FDR"
"Adipose","1.20 (1.02-1.40)",0.0340876486561253
"Brain","1.34 (1.17-1.53)",6.5153290140216e-05
"Cardiovascular","1.45 (1.25-1.68)",6.36014085434873e-06
"Endocrine","1.29 (1.11-1.51)",0.00231850351994009
"Gastrointestinal","1.21 (1.04-1.40)",0.0179913914309614
"Immune","1.36 (1.19-1.55)",2.27676145192207e-05
"Kidney And Bladder","1.42 (1.23-1.63)",6.36014085434873e-06
"Liver","1.28 (1.08-1.51)",0.00733770358836565
"Lung","1.13 (0.98-1.31)",0.097896240376615
"Muscle","1.26 (1.11-1.43)",0.000579378212483762
"Nerve","1.36 (1.16-1.58)",0.000285022158558452
"Ovary","1.19 (0.95-1.48)",0.125253743648625
"Pancreas","1.13 (0.98-1.31)",0.0967794211254785
"Prostate","1.62 (1.33-1.97)",8.07815694802057e-06
"Skin","1.15 (0.99-1.33)",0.0839916879223972
