"Organ","Effect (95% CI)","FDR"
"Adipose","1.19 (0.93-1.52)",0.383402238945342
"Brain","1.24 (1.00-1.53)",0.186531310007517
"Cardiovascular","1.39 (1.09-1.77)",0.0407955753535901
"Endocrine","1.26 (0.99-1.60)",0.186531310007517
"Gastrointestinal","1.10 (0.89-1.36)",0.43131508080784
"Immune","1.13 (0.89-1.42)",0.39166700927588
"Kidney And Bladder","1.39 (1.13-1.72)",0.0280996482110155
"Liver","1.19 (0.90-1.58)",0.383402238945342
"Lung","1.16 (0.92-1.46)",0.383402238945342
"Muscle","1.05 (0.87-1.28)",0.630631239368222
"Nerve","1.15 (0.89-1.48)",0.39166700927588
"Ovary","1.17 (0.87-1.56)",0.39166700927588
"Pancreas","0.98 (0.78-1.24)",0.871650342694689
"Prostate","1.53 (1.12-2.09)",0.0407955753535901
"Skin","1.14 (0.92-1.42)",0.383402238945342
