"Organ","Effect (95% CI)","FDR"
"Adipose","1.07 (1.00-1.14)",0.168375012120922
"Brain","1.03 (0.97-1.10)",0.420740855370585
"Cardiovascular","1.03 (0.96-1.10)",0.430453488670306
"Endocrine","1.08 (1.01-1.15)",0.0771106863052307
"Gastrointestinal","1.04 (0.97-1.11)",0.418548012223805
"Immune","1.13 (1.06-1.20)",0.00232721373083092
"Kidney And Bladder","1.10 (1.04-1.18)",0.0205657838573812
"Liver","1.03 (0.97-1.10)",0.420740855370585
"Lung","1.09 (1.02-1.16)",0.0479360719582367
"Muscle","0.96 (0.90-1.02)",0.388286020163316
"Nerve","1.03 (0.97-1.10)",0.418548012223805
"Ovary","1.09 (0.99-1.19)",0.168375012120922
"Pancreas","1.05 (0.98-1.13)",0.295969854834724
"Prostate","1.06 (0.95-1.17)",0.418548012223805
"Skin","1.00 (0.93-1.07)",0.975573680389001
