"Organ","Effect (95% CI)","FDR"
"Adipose","1.02 (0.98-1.07)",0.260302558275579
"Brain","1.10 (1.06-1.14)",2.32255627601151e-06
"Cardiovascular","1.16 (1.11-1.20)",2.85389977756572e-12
"Endocrine","1.11 (1.06-1.16)",1.35638267464922e-05
"Gastrointestinal","1.15 (1.11-1.20)",2.72159699696596e-12
"Immune","1.09 (1.05-1.13)",3.04551605217015e-05
"Kidney And Bladder","1.17 (1.12-1.22)",1.85728465028969e-12
"Liver","1.14 (1.10-1.19)",7.63163017136202e-11
"Lung","1.10 (1.06-1.14)",9.02012626407766e-06
"Muscle","1.07 (1.04-1.11)",0.000124831856848
"Nerve","1.11 (1.07-1.15)",7.42553249870228e-07
"Ovary","1.09 (1.02-1.17)",0.0168515277357263
"Pancreas","1.05 (1.01-1.09)",0.0168515277357263
"Prostate","1.04 (0.99-1.09)",0.131537382391681
"Skin","1.04 (1.00-1.08)",0.063298269718001
