"Organ","Effect (95% CI)","FDR"
"Adipose","1.01 (0.94-1.08)",0.856154677020431
"Brain","1.13 (1.07-1.21)",0.000476225926648429
"Cardiovascular","1.05 (0.99-1.12)",0.155707530800714
"Endocrine","1.03 (0.97-1.11)",0.356043258866581
"Gastrointestinal","1.19 (1.12-1.26)",8.17851778074635e-07
"Immune","1.12 (1.05-1.20)",0.00238255616432725
"Kidney And Bladder","1.10 (1.03-1.17)",0.0234130615812468
"Liver","1.07 (1.00-1.14)",0.0907912987498818
"Lung","1.07 (1.00-1.15)",0.112369860363347
"Muscle","1.05 (0.99-1.11)",0.155707530800714
"Nerve","1.08 (1.02-1.15)",0.0417223788026863
"Ovary","1.12 (1.02-1.24)",0.0469549114963106
"Pancreas","1.03 (0.97-1.09)",0.356043258866581
"Prostate","1.05 (0.97-1.14)",0.290085628835043
"Skin","1.08 (1.01-1.15)",0.0469549114963106
