"Organ","Effect (95% CI)","FDR"
"Adipose","1.03 (0.95-1.11)",0.487542051462238
"Brain","1.12 (1.05-1.21)",0.00422960708898434
"Cardiovascular","1.16 (1.08-1.25)",0.000271181501127518
"Endocrine","1.14 (1.05-1.23)",0.00420733080574923
"Gastrointestinal","1.11 (1.02-1.20)",0.0267468043955979
"Immune","1.13 (1.05-1.22)",0.00420733080574923
"Kidney And Bladder","1.18 (1.10-1.27)",0.000223293590835733
"Liver","1.14 (1.06-1.23)",0.00244544206257768
"Lung","1.09 (1.01-1.18)",0.0477100397805636
"Muscle","1.03 (0.97-1.11)",0.372026305187638
"Nerve","1.05 (0.98-1.13)",0.246238679397719
"Ovary","1.06 (0.94-1.19)",0.372026305187638
"Pancreas","1.00 (0.94-1.08)",0.902294102922232
"Prostate","1.06 (0.96-1.17)",0.322804670240154
"Skin","1.08 (1.00-1.17)",0.069338717841913
