"Organ","Effect (95% CI)","FDR"
"Adipose","1.05 (0.89-1.24)",0.751324522133007
"Brain","1.04 (0.89-1.21)",0.751324522133007
"Cardiovascular","1.07 (0.93-1.23)",0.751324522133007
"Endocrine","1.06 (0.90-1.25)",0.751324522133007
"Gastrointestinal","0.98 (0.85-1.14)",0.823441780519392
"Immune","1.05 (0.90-1.22)",0.751324522133007
"Kidney And Bladder","1.16 (0.99-1.36)",0.60071705764665
"Liver","1.04 (0.89-1.22)",0.751324522133007
"Lung","1.03 (0.90-1.19)",0.751324522133007
"Muscle","1.08 (0.97-1.20)",0.751324522133007
"Nerve","1.05 (0.91-1.22)",0.751324522133007
"Ovary","1.21 (0.98-1.51)",0.60071705764665
"Pancreas","1.07 (0.93-1.24)",0.751324522133007
"Prostate","0.93 (0.77-1.13)",0.751324522133007
"Skin","0.98 (0.86-1.12)",0.799611511058008
