"Organ","Effect (95% CI)","FDR"
"Adipose","1.14 (1.04-1.25)",0.0091356421081169
"Brain","1.08 (0.99-1.19)",0.12224688972574
"Cardiovascular","1.29 (1.18-1.41)",2.02692704272888e-07
"Endocrine","1.17 (1.07-1.29)",0.0023967625592954
"Gastrointestinal","1.14 (1.05-1.24)",0.00720331657947379
"Immune","1.14 (1.04-1.26)",0.0100752137314972
"Kidney And Bladder","1.21 (1.10-1.33)",0.00053486040211564
"Liver","1.19 (1.09-1.30)",0.00105518253469508
"Lung","1.07 (0.97-1.18)",0.162996141007573
"Muscle","1.07 (0.98-1.17)",0.162996141007573
"Nerve","1.18 (1.07-1.29)",0.00209492344291457
"Ovary","1.09 (0.97-1.23)",0.162996141007573
"Pancreas","1.09 (0.99-1.20)",0.100281175922309
"Prostate","1.06 (0.91-1.23)",0.449286695893162
"Skin","1.15 (1.05-1.27)",0.00860454232068689
